IPOS01883634			49 50 4F 53 30 31 38 38 33 36 33 34
DC:64:B8:45:4F:46		46 4F 45 B8 64 DC

Signal Name	Data
Digital 5	00 Stop Error
Digital 6	00 Stop Error
Digital 5	FF 
			01 03 0C 00 
			01 03 0C 00 
			01 03 0C 00
Digital 6	04 0F 04 00 01 00 00
Digital 5	01 03 0C 00
Digital 6	04 0E 04 01 03 0C 00
Digital 5	01 00 FC 13 C2 02 00 09 00 1E 00 03 70 00 00 FE 01 01 00 00 00 90 65
Digital 6	04 FF 13 C2 01 00 09 00 1E 00 03 70 00 00 FE 01 01 00 00 00 90 65
Digital 5	01 00 FC 13 C2 02 00 09 00 04 00 03 70 00 00 F9 01 01 00 00 00 03 00
Digital 6	04 FF 13 C2 01 00 09 00 04 00 03 70 00 00 F9 01 01 00 00 00 03 00
Digital 5	01 00 FC 13 C2 02 00 09 00 05 00 03 70 00 00 C0 01 01 00 00 00 A8 08
Digital 6	04 FF 13 C2 01 00 09 00 05 00 03 70 00 00 C0 01 01 00 00 00 A8 08
Digital 5	01 00 FC 19 C2 02 00 0C 00 08 00 03 70 00 00 01 00 04 00 00 00 45 00 46 4F B8 00 64 DC
Digital 6	04 FF 19 C2 01 00 0C 00 08 00 03 70 00 00 01 00 04 00 00 00 45 00 46 4F B8 00 64 DC
Digital 5	01 00 FC 15 C2 02 00 0A 00 09 00 03 70 00 00 EA 01 02 00 00 00 01 00 00 C2
Digital 6	04 FF 15 C2 01 00 0A 00 09 00 03 70 00 00 EA 01 02 00 00 00 01 00 00 C2
Digital 5	01 00 FC 13 C2 02 00 09 00 4D 0E 02 40 00 00 00 00 00 00 00 00 00 00 01 00 FC 13 C2 02 00 09 00 A0 00 04 50 00 00 1D 00 3A 00 00 00 00 00
Digital 6	04 FF 13 C2 01 00 09 00 A0 00 04 50 00 00 1D 00 3A 00 00 00 00 00
Digital 6	04 0F 04 00 01 00 00 
Digital 5	01 09 10 00 
Digital 6	04 0E 0A 01 09 10 00 46 4F 45 B8 64 DC
Digital 5	01 05 10 00
Digital 6	04 0E 0B 01 05 10 00 36 01 40 0A 00 08 00
Digital 5	01 03 10 00
Digital 6	04 0E 0C 01 03 10 00 FF FF 8F FE DB FF 5B 87
Digital 5	01 01 0C 08 FF FF FF FF FF FF FF 3F
Digital 6	04 0E 04 01 01 0C 00
Digital 5	01 18 0C 02 00 20
Digital 6	04 0E 04 01 18 0C 00
Digital 5	01 24 0C 03 04 04 24
Digital 6	04 0E 04 01 24 0C 00
