Time(seconds),Bus Name,Signal Name,Data
0.439767750,Async 3,Digital 4,00 Stop Error
0.439768000,Async 3,Digital 3,00 Stop Error
0.532053000,Async 3,Digital 4,FF
1.020983000,Async 3,Digital 4,01
1.021068500,Async 3,Digital 4,03
1.021153750,Async 3,Digital 4,0C
1.021239250,Async 3,Digital 4,00
1.119568500,Async 3,Digital 4,01
1.119654000,Async 3,Digital 4,03
1.119739500,Async 3,Digital 4,0C
1.119825000,Async 3,Digital 4,00
1.218145750,Async 3,Digital 4,01
1.218231250,Async 3,Digital 4,03
1.218316500,Async 3,Digital 4,0C
1.218402000,Async 3,Digital 4,00
1.241361000,Async 3,Digital 3,04
1.241446750,Async 3,Digital 3,0F
1.241532500,Async 3,Digital 3,04
1.241618250,Async 3,Digital 3,00
1.241704000,Async 3,Digital 3,01
1.241790000,Async 3,Digital 3,00
1.241875750,Async 3,Digital 3,00
1.317082000,Async 3,Digital 4,01
1.317169000,Async 3,Digital 4,03
1.317256000,Async 3,Digital 4,0C
1.317343000,Async 3,Digital 4,00
1.431137000,Async 3,Digital 3,04
1.431222750,Async 3,Digital 3,0E
1.431308500,Async 3,Digital 3,04
1.431394250,Async 3,Digital 3,01
1.431480250,Async 3,Digital 3,03
1.431566000,Async 3,Digital 3,0C
1.431651750,Async 3,Digital 3,00
1.431842750,Async 3,Digital 4,01
1.431929750,Async 3,Digital 4,00
1.432016500,Async 3,Digital 4,FC
1.432103500,Async 3,Digital 4,13
1.432190500,Async 3,Digital 4,C2
1.432277500,Async 3,Digital 4,02
1.432364500,Async 3,Digital 4,00
1.432451250,Async 3,Digital 4,09
1.432538250,Async 3,Digital 4,00
1.432625250,Async 3,Digital 4,1E
1.432712250,Async 3,Digital 4,00
1.432799000,Async 3,Digital 4,03
1.432886000,Async 3,Digital 4,70
1.432973000,Async 3,Digital 4,00
1.433059750,Async 3,Digital 4,00
1.433146750,Async 3,Digital 4,FE
1.433233500,Async 3,Digital 4,01
1.433320500,Async 3,Digital 4,01
1.433407500,Async 3,Digital 4,00
1.433494500,Async 3,Digital 4,00
1.433581500,Async 3,Digital 4,00
1.433668500,Async 3,Digital 4,90
1.433755500,Async 3,Digital 4,65
1.434371750,Async 3,Digital 3,04
1.434457500,Async 3,Digital 3,FF
1.434543250,Async 3,Digital 3,13
1.434629000,Async 3,Digital 3,C2
1.434714750,Async 3,Digital 3,01
1.434800750,Async 3,Digital 3,00
1.434886500,Async 3,Digital 3,09
1.434972250,Async 3,Digital 3,00
1.435058000,Async 3,Digital 3,1E
1.435143750,Async 3,Digital 3,00
1.435229750,Async 3,Digital 3,03
1.435315500,Async 3,Digital 3,70
1.435401250,Async 3,Digital 3,00
1.435487000,Async 3,Digital 3,00
1.435573000,Async 3,Digital 3,FE
1.435658750,Async 3,Digital 3,01
1.435744500,Async 3,Digital 3,01
1.435830250,Async 3,Digital 3,00
1.435916000,Async 3,Digital 3,00
1.436002000,Async 3,Digital 3,00
1.436087750,Async 3,Digital 3,90
1.436173500,Async 3,Digital 3,65
1.436337000,Async 3,Digital 4,01
1.436424000,Async 3,Digital 4,00
1.436511000,Async 3,Digital 4,FC
1.436597750,Async 3,Digital 4,13
1.436684750,Async 3,Digital 4,C2
1.436771750,Async 3,Digital 4,02
1.436858750,Async 3,Digital 4,00
1.436945750,Async 3,Digital 4,09
1.437032750,Async 3,Digital 4,00
1.437119500,Async 3,Digital 4,04
1.437206500,Async 3,Digital 4,00
1.437293500,Async 3,Digital 4,03
1.437380500,Async 3,Digital 4,70
1.437467500,Async 3,Digital 4,00
1.437554500,Async 3,Digital 4,00
1.437641250,Async 3,Digital 4,F9
1.437728250,Async 3,Digital 4,01
1.437815250,Async 3,Digital 4,01
1.437902250,Async 3,Digital 4,00
1.437989000,Async 3,Digital 4,00
1.438076000,Async 3,Digital 4,00
1.438163000,Async 3,Digital 4,03
1.438250000,Async 3,Digital 4,00
1.438842000,Async 3,Digital 3,04
1.438927750,Async 3,Digital 3,FF
1.439013500,Async 3,Digital 3,13
1.439099250,Async 3,Digital 3,C2
1.439185250,Async 3,Digital 3,01
1.439271000,Async 3,Digital 3,00
1.439356750,Async 3,Digital 3,09
1.439442500,Async 3,Digital 3,00
1.439528250,Async 3,Digital 3,04
1.439614250,Async 3,Digital 3,00
1.439700000,Async 3,Digital 3,03
1.439785750,Async 3,Digital 3,70
1.439871500,Async 3,Digital 3,00
1.439957250,Async 3,Digital 3,00
1.440043250,Async 3,Digital 3,F9
1.440129000,Async 3,Digital 3,01
1.440214750,Async 3,Digital 3,01
1.440300500,Async 3,Digital 3,00
1.440386250,Async 3,Digital 3,00
1.440472250,Async 3,Digital 3,00
1.440558000,Async 3,Digital 3,03
1.440643750,Async 3,Digital 3,00
1.440809250,Async 3,Digital 4,01
1.440896250,Async 3,Digital 4,00
1.440983250,Async 3,Digital 4,FC
1.441070000,Async 3,Digital 4,13
1.441157000,Async 3,Digital 4,C2
1.441244000,Async 3,Digital 4,02
1.441331000,Async 3,Digital 4,00
1.441418000,Async 3,Digital 4,09
1.441504750,Async 3,Digital 4,00
1.441591750,Async 3,Digital 4,05
1.441678750,Async 3,Digital 4,00
1.441765750,Async 3,Digital 4,03
1.441852750,Async 3,Digital 4,70
1.441939500,Async 3,Digital 4,00
1.442026500,Async 3,Digital 4,00
1.442113500,Async 3,Digital 4,C0
1.442200500,Async 3,Digital 4,01
1.442287500,Async 3,Digital 4,01
1.442374250,Async 3,Digital 4,00
1.442461250,Async 3,Digital 4,00
1.442548250,Async 3,Digital 4,00
1.442635000,Async 3,Digital 4,A8
1.442722000,Async 3,Digital 4,08
1.443312250,Async 3,Digital 3,04
1.443398000,Async 3,Digital 3,FF
1.443483750,Async 3,Digital 3,13
1.443569500,Async 3,Digital 3,C2
1.443655500,Async 3,Digital 3,01
1.443741250,Async 3,Digital 3,00
1.443827000,Async 3,Digital 3,09
1.443912750,Async 3,Digital 3,00
1.443998500,Async 3,Digital 3,05
1.444084500,Async 3,Digital 3,00
1.444170250,Async 3,Digital 3,03
1.444256000,Async 3,Digital 3,70
1.444341750,Async 3,Digital 3,00
1.444427750,Async 3,Digital 3,00
1.444513500,Async 3,Digital 3,C0
1.444599250,Async 3,Digital 3,01
1.444685000,Async 3,Digital 3,01
1.444770750,Async 3,Digital 3,00
1.444856750,Async 3,Digital 3,00
1.444942500,Async 3,Digital 3,00
1.445028250,Async 3,Digital 3,A8
1.445114000,Async 3,Digital 3,08
1.445330750,Async 3,Digital 4,01
1.445417750,Async 3,Digital 4,00
1.445504750,Async 3,Digital 4,FC
1.445591750,Async 3,Digital 4,19
1.445678500,Async 3,Digital 4,C2
1.445765500,Async 3,Digital 4,02
1.445852500,Async 3,Digital 4,00
1.445939500,Async 3,Digital 4,0C
1.446026500,Async 3,Digital 4,00
1.446113500,Async 3,Digital 4,08
1.446200250,Async 3,Digital 4,00
1.446287250,Async 3,Digital 4,03
1.446374250,Async 3,Digital 4,70
1.446461250,Async 3,Digital 4,00
1.446548250,Async 3,Digital 4,00
1.446635250,Async 3,Digital 4,01
1.446722000,Async 3,Digital 4,00
1.446809000,Async 3,Digital 4,04
1.446896000,Async 3,Digital 4,00
1.446983000,Async 3,Digital 4,00
1.447070000,Async 3,Digital 4,00
1.447157000,Async 3,Digital 4,45
