Time(seconds),Bus Name,Signal Name,Data
6.996342000,Async 5,Digital 6,04
6.996429000,Async 5,Digital 6,3E
6.996516000,Async 5,Digital 6,13
6.996602000,Async 5,Digital 6,01
6.996689000,Async 5,Digital 6,00
6.996776000,Async 5,Digital 6,48
6.996863000,Async 5,Digital 6,00
6.996949000,Async 5,Digital 6,01
6.997036000,Async 5,Digital 6,01
6.997123000,Async 5,Digital 6,00
6.997209000,Async 5,Digital 6,14
6.997296000,Async 5,Digital 6,03
6.997383000,Async 5,Digital 6,BE
6.997470000,Async 5,Digital 6,99
6.997556000,Async 5,Digital 6,76
6.997643000,Async 5,Digital 6,18
6.997730000,Async 5,Digital 6,00
6.997816000,Async 5,Digital 6,00
6.997903000,Async 5,Digital 6,00
6.997990000,Async 5,Digital 6,48
6.998077000,Async 5,Digital 6,00
6.998163000,Async 5,Digital 6,05
6.998391000,Async 5,Digital 5,01
6.998478000,Async 5,Digital 5,1A
6.998564000,Async 5,Digital 5,0C
6.998651000,Async 5,Digital 5,01
6.998738000,Async 5,Digital 5,02
6.998897000,Async 5,Digital 5,01
6.998984000,Async 5,Digital 5,19
6.999071000,Async 5,Digital 5,04
6.999158000,Async 5,Digital 5,0A
6.999245000,Async 5,Digital 5,00
6.999331000,Async 5,Digital 5,14
6.999418000,Async 5,Digital 5,03
6.999505000,Async 5,Digital 5,BE
6.999592000,Async 5,Digital 5,99
6.999679000,Async 5,Digital 5,76
6.999765000,Async 5,Digital 5,00
6.999852000,Async 5,Digital 5,00
6.999939000,Async 5,Digital 5,00
7.000026000,Async 5,Digital 5,00
7.000288000,Async 5,Digital 6,04
7.000374000,Async 5,Digital 6,0E
7.000461000,Async 5,Digital 6,04
7.000548000,Async 5,Digital 6,01
7.000635000,Async 5,Digital 6,1A
7.000721000,Async 5,Digital 6,0C
7.000808000,Async 5,Digital 6,00
7.001216000,Async 5,Digital 6,04
7.001302000,Async 5,Digital 6,0F
7.001389000,Async 5,Digital 6,04
7.001476000,Async 5,Digital 6,00
7.001562000,Async 5,Digital 6,01
7.001649000,Async 5,Digital 6,19
7.001736000,Async 5,Digital 6,04
7.044372000,Async 5,Digital 6,02
7.044458000,Async 5,Digital 6,48
7.044545000,Async 5,Digital 6,20
7.044632000,Async 5,Digital 6,07
7.044718000,Async 5,Digital 6,00
7.044805000,Async 5,Digital 6,03
7.044892000,Async 5,Digital 6,00
7.044979000,Async 5,Digital 6,04
7.045065000,Async 5,Digital 6,00
7.045152000,Async 5,Digital 6,02
7.045239000,Async 5,Digital 6,9E
7.045325000,Async 5,Digital 6,00
7.045854000,Async 5,Digital 5,02
7.045941000,Async 5,Digital 5,48
7.046028000,Async 5,Digital 5,00
7.046115000,Async 5,Digital 5,07
7.046202000,Async 5,Digital 5,00
7.046288000,Async 5,Digital 5,03
7.046375000,Async 5,Digital 5,00
7.046462000,Async 5,Digital 5,04
7.046549000,Async 5,Digital 5,00
7.046636000,Async 5,Digital 5,03
7.046722000,Async 5,Digital 5,40
7.046809000,Async 5,Digital 5,00
7.104419000,Async 5,Digital 6,02
7.104506000,Async 5,Digital 6,48
7.104592000,Async 5,Digital 6,20
7.104679000,Async 5,Digital 6,0B
7.104766000,Async 5,Digital 6,00
7.104853000,Async 5,Digital 6,07
7.104939000,Async 5,Digital 6,00
7.105026000,Async 5,Digital 6,04
7.105113000,Async 5,Digital 6,00
7.105199000,Async 5,Digital 6,10
7.105286000,Async 5,Digital 6,01
7.105373000,Async 5,Digital 6,00
7.105460000,Async 5,Digital 6,FF
7.105546000,Async 5,Digital 6,FF
7.105633000,Async 5,Digital 6,00
7.105720000,Async 5,Digital 6,28
7.106392000,Async 5,Digital 5,02
7.106478000,Async 5,Digital 5,48
7.106565000,Async 5,Digital 5,00
7.106652000,Async 5,Digital 5,1E
7.106739000,Async 5,Digital 5,00
7.106826000,Async 5,Digital 5,1A
