Time(seconds),Bus Name,Signal Name,Data
3.858968000,Async 5,Digital 6,04
3.859054000,Async 5,Digital 6,04
3.859141000,Async 5,Digital 6,0A
3.859228000,Async 5,Digital 6,4D
3.859315000,Async 5,Digital 6,8D
3.859401000,Async 5,Digital 6,B2
3.859488000,Async 5,Digital 6,BF
3.859575000,Async 5,Digital 6,27
3.859661000,Async 5,Digital 6,28
3.859748000,Async 5,Digital 6,0C
3.859835000,Async 5,Digital 6,02
3.859922000,Async 5,Digital 6,5A
3.860008000,Async 5,Digital 6,01
3.860205000,Async 5,Digital 5,01
3.860295000,Async 5,Digital 5,09
3.860382000,Async 5,Digital 5,04
3.860469000,Async 5,Digital 5,07
3.860556000,Async 5,Digital 5,4D
3.860642000,Async 5,Digital 5,8D
3.860729000,Async 5,Digital 5,B2
3.860816000,Async 5,Digital 5,BF
3.860903000,Async 5,Digital 5,27
3.860990000,Async 5,Digital 5,28
3.861077000,Async 5,Digital 5,01
3.861838000,Async 5,Digital 6,04
3.861925000,Async 5,Digital 6,0F
3.862011000,Async 5,Digital 6,04
3.862098000,Async 5,Digital 6,00
3.862185000,Async 5,Digital 6,01
3.862271000,Async 5,Digital 6,09
3.862358000,Async 5,Digital 6,04
3.871888000,Async 5,Digital 6,04
3.871974000,Async 5,Digital 6,16
3.872061000,Async 5,Digital 6,06
3.872148000,Async 5,Digital 6,4D
3.872235000,Async 5,Digital 6,8D
3.872321000,Async 5,Digital 6,B2
3.872408000,Async 5,Digital 6,BF
3.872495000,Async 5,Digital 6,27
3.872581000,Async 5,Digital 6,28
3.872761000,Async 5,Digital 5,01
3.872848000,Async 5,Digital 5,0D
3.872935000,Async 5,Digital 5,04
3.873021000,Async 5,Digital 5,17
3.873108000,Async 5,Digital 5,4D
3.873195000,Async 5,Digital 5,8D
3.873282000,Async 5,Digital 5,B2
3.873369000,Async 5,Digital 5,BF
3.873456000,Async 5,Digital 5,27
3.873543000,Async 5,Digital 5,28
3.873630000,Async 5,Digital 5,04
3.873717000,Async 5,Digital 5,33
3.873804000,Async 5,Digital 5,36
3.873891000,Async 5,Digital 5,33
3.873978000,Async 5,Digital 5,34
3.874064000,Async 5,Digital 5,00
3.874151000,Async 5,Digital 5,00
3.874238000,Async 5,Digital 5,00
3.874325000,Async 5,Digital 5,24
3.874412000,Async 5,Digital 5,04
3.874499000,Async 5,Digital 5,04
3.874586000,Async 5,Digital 5,00
3.874673000,Async 5,Digital 5,00
3.874760000,Async 5,Digital 5,3A
3.874847000,Async 5,Digital 5,00
3.874934000,Async 5,Digital 5,60
3.875021000,Async 5,Digital 5,25
3.876796000,Async 5,Digital 6,04
3.876882000,Async 5,Digital 6,0E
3.876969000,Async 5,Digital 6,0A
3.877056000,Async 5,Digital 6,01
3.877142000,Async 5,Digital 6,0D
3.877229000,Async 5,Digital 6,04
3.877316000,Async 5,Digital 6,00
3.877403000,Async 5,Digital 6,4D
3.877489000,Async 5,Digital 6,8D
3.877576000,Async 5,Digital 6,B2
3.877663000,Async 5,Digital 6,BF
3.877749000,Async 5,Digital 6,27
3.877836000,Async 5,Digital 6,28
3.901248000,Async 5,Digital 6,04
3.901335000,Async 5,Digital 6,18
3.901422000,Async 5,Digital 6,17
3.901508000,Async 5,Digital 6,4D
3.901595000,Async 5,Digital 6,8D
3.901682000,Async 5,Digital 6,B2
3.901768000,Async 5,Digital 6,BF
3.901855000,Async 5,Digital 6,27
3.901942000,Async 5,Digital 6,28
3.902028000,Async 5,Digital 6,17
3.902115000,Async 5,Digital 6,D4
3.902202000,Async 5,Digital 6,18
3.902289000,Async 5,Digital 6,5A
3.902375000,Async 5,Digital 6,81
3.902462000,Async 5,Digital 6,2D
3.902549000,Async 5,Digital 6,8F
3.902635000,Async 5,Digital 6,EC
3.902722000,Async 5,Digital 6,52
3.902809000,Async 5,Digital 6,53
3.902896000,Async 5,Digital 6,26
3.902982000,Async 5,Digital 6,CC
3.903069000,Async 5,Digital 6,54
3.903156000,Async 5,Digital 6,6E
3.903242000,Async 5,Digital 6,CE
3.903329000,Async 5,Digital 6,3D
3.903416000,Async 5,Digital 6,00
3.905688000,Async 5,Digital 6,04
3.905774000,Async 5,Digital 6,03
3.905861000,Async 5,Digital 6,0B
3.905948000,Async 5,Digital 6,00
3.906035000,Async 5,Digital 6,46
3.906121000,Async 5,Digital 6,00
3.906208000,Async 5,Digital 6,4D
3.906295000,Async 5,Digital 6,8D
3.906381000,Async 5,Digital 6,B2
3.906468000,Async 5,Digital 6,BF
3.906555000,Async 5,Digital 6,27
3.906642000,Async 5,Digital 6,28
3.906728000,Async 5,Digital 6,01
3.906815000,Async 5,Digital 6,00
3.907012000,Async 5,Digital 5,01
3.907099000,Async 5,Digital 5,1A
3.907186000,Async 5,Digital 5,0C
3.907272000,Async 5,Digital 5,01
3.907359000,Async 5,Digital 5,02
3.907448000,Async 5,Digital 5,01
3.907457000,Async 5,Digital 6,04
3.907535000,Async 5,Digital 5,19
3.907622000,Async 5,Digital 5,04
3.907709000,Async 5,Digital 5,0A
3.907796000,Async 5,Digital 5,4D
3.907883000,Async 5,Digital 5,8D
3.907970000,Async 5,Digital 5,B2
3.908057000,Async 5,Digital 5,BF
3.908144000,Async 5,Digital 5,27
3.908230000,Async 5,Digital 5,28
3.908317000,Async 5,Digital 5,00
3.908404000,Async 5,Digital 5,00
3.908491000,Async 5,Digital 5,00
3.908578000,Async 5,Digital 5,00
3.908645000,Async 5,Digital 6,20
3.908667000,Async 5,Digital 5,01
3.908731000,Async 5,Digital 6,07
3.908755000,Async 5,Digital 5,1B
3.908842000,Async 5,Digital 5,04
3.908929000,Async 5,Digital 5,02
3.909016000,Async 5,Digital 5,46
3.909103000,Async 5,Digital 5,00
3.909165000,Async 5,Digital 6,4D
3.909312000,Async 5,Digital 6,8D
3.909399000,Async 5,Digital 6,B2
3.909486000,Async 5,Digital 6,BF
3.909572000,Async 5,Digital 6,27
3.909659000,Async 5,Digital 6,28
3.909746000,Async 5,Digital 6,00
3.909928000,Async 5,Digital 6,04
3.910015000,Async 5,Digital 6,1B
3.910101000,Async 5,Digital 6,03
3.910188000,Async 5,Digital 6,46
3.910275000,Async 5,Digital 6,00
